;Es la secretaria del colegio nuyrcionistas de chiclayo trabaja en un centro dalud minsa de periferie;PERU
;Juan Carlos Realiza pedido de 1d 1023 Anteriormente lo trabajaba hace mucho Trabaja linea Geltek en insecticidas;ARGENTINA
;Pide 3u 1075  1d 1023  12 u 1051 6u 1059  3u 1065  3u 1064;ARGENTINA
;Realiza pedido de 1 dispenser de 1023;ARGENTINA
;REaliza pedido de 1d 1023;ARGENTINA
;Realiza pedido de 1d 1023;ARGENTINA
;Realiza pedido de 24u 1051;ARGENTINA
;Realiza pedido de 3u 1300 1310 1320;ARGENTINA
;REaliza pedido de aerosoles 3 de cada uno y 3u 1064 Trabajaba jeringas Ultra aun tiene;ARGENTINA
;Realiza pedido de aerosoles 3u de 1300 1310 1320;ARGENTINA
;Se le dejaron Agenda y Calendario no me pudo atender personalmente;COLOMBIA
;Se revision de negocio de todos los productos de Vitalis con el fin de pasar nueva negociacion para el 2018 especialmente de los productos en sobre stock de Vitalis Tambien se hace revision de cartera en mora se debe llamar el lunes 26 con el fin ;COLOMBIA
;;PERU
;;COLOMBIA
;;PERU
;;PERU
;;PERU
;Capacite a la dermo de la linea DermopureCampana de Ureage;PERU
;Conoce nuestro portafolio desde hace un tiempo pero tambien hace buenos comentarios de la competencia en general Tiene pres;COLOMBIA
;Dra Mantiene siempre recetando cl en erupcion dental y como inductor del sueno Se refuerza linea ;CHILE
;Informe las promociones a los tecnicos;PERU
;Me  pidio Transfer por Whatsapp;ARGENTINA
;Me pidieron transfer entrada Intermedicaldeje Vermiplex;ARGENTINA
;Se repasa cada una de nuestras formulas infantiles Nutribaby  se refuerza especialmente etapas 1 y 2 y Bienestar se informa de los benefcios que tenemos en la etapa 3;COLOMBIA
;Usa dexagin siempre;CHILE
; Informe promociones de la linea capacite de le linea de baby bano;PERU
;  Es un 1010 solo que enviare 10 adulto y 10 kid  Cualquker duda me llaman gracias;GUATEMALA
; ;PERU
; 0 Unidades de globifer vendidas este mes;CHILE
; 4 Muestras de Basken Gourmet por cajitas vacias que se adeudaban;ARGENTINA
; 42 Zimbax Normal bono Q100063 Metformina 1000mg bono Q500Doloneuro iny bonoQ1000Doloneuro tripack bono Q4000Folacid Ferro bono Q1000Gestabion x 60 bono Q1500Maxicrez bononQ2000;GUATEMALA
; A doctora Eugenia palacios se le factura como Farmacia San Marcos de Palin Escuintla  Le di el perenterol de 200 mg 11 mas el 10 ofrecido en factura  Facturar por favor el producto ya entregado;GUATEMALA
; acomode linea deje muestras regalo para 2 se hizo pedido ace puse displays tenseur AMP;ARGENTINA
; Algunos productos se pueden  codificar otro no por precio ;COLOMBIA
; Buena construccion de marca;COLOMBIA
; Buenas tardes Favor llevar el pedido a oficinas de zona 15 yo Mynor Leon recogere el pedido Gracias ;GUATEMALA
; Cancelo factura pendiente ;GUATEMALA
; Cargado con parrilla deltaCLIENTE QUE PAGO SU SALDO Y PIDIO 3000;GUATEMALA
; Comprometido a rx moperid y mixel;COLOMBIA
; Conoce provide y ahora le interesa mucjho liquacel;PERU
; conoci Rosana encargada de compras Vi stock;ARGENTINA
; Consultar a Guilli GraciasSuma para Beca Jornada Intermedica junto a cliente Dra Buschara su mama;ARGENTINA
; Continuara formulando etidoxinasodermixse le crea la necesidad de usar skinpred y se resalta marca de los productos;COLOMBIA
; Deje folletos de Pami y un kit de obsequio Tiene vacaciones en marzo ;ARGENTINA
; DEPOSITARA  CUANTO ANTES PORQUE NO TIENE CHEQUES DICE ME ENSENO LOS CADIROS DE LA CHEQUERA  TODO BIENESTARE ATENTO Y A DARLE SEGUIMIENTOS ;GUATEMALA
; destacan ventajas  de dazimen relacion costo beneficio ;CHILE
; Dodo perfu Prod para cabelo No estaba la encargada Sra lilian a partir de las 16 hs Le deje catalogo y telef a Adriana  Le mostre los labiales  ;ARGENTINA
; Dr ya pronto dejara servicio Afable y usuario esporadica;CHILE
; Dra  Mantiene linea presente y recetando cl en pacientes;CHILE
; Edico joven internista espero que realmente valla recetando y adoptando nuestros productos;GUATEMALA
; el medico es muy receptivo con nuestras marcas ;COLOMBIA
; Entregar unicamente la bonificacion El cliente ya recibio la mercaderia y envio facturas  Gracias;ARGENTINA
; Facturar a farmacia santa inesNit 6944353 zona 13 ojo producto entregado Ojo entregado hacer un 10 de descuento de una vez;GUATEMALA
